Sample_Time,Sample_Year,Site,PSP,TREE_ID,SPCD,STAT_new,DBH_cm,TLHT_m,CRCL,PREVDBH_cm,PREVTLHT_m,PREVCRCL,STAT,DBH_live,TLHT_live,CRCL_live
1,1995,1021,10062,104875,4,0,18.034,22.5552,2,,,,0,18.034,22.5552,2
2,2000,1021,10062,104875,4,0,18.9738,23.4696,2,18.034,22.5552,,0,18.9738,23.4696,2
3,2005,1021,10062,104875,4,0,19.4818,23.4696,2,18.9738,23.4696,,0,19.4818,23.4696,2
1,1995,1021,10062,104876,4,0,10.541,15.5448,3,,,,0,10.541,15.5448,3
2,2000,1021,10062,104876,4,0,10.6172,16.764,3,10.541,15.5448,,0,10.6172,16.764,3
3,2005,1021,10062,104876,4,0,10.7188,16.764,3,10.6172,16.764,,0,10.7188,16.764,3
4,2010,1021,10062,104876,4,0,10.922,15.5448,2,10.7188,16.764,,0,10.922,15.5448,2
1,1995,1021,10062,104881,4,0,23.4188,19.5072,1,,,,0,23.4188,19.5072,1
2,2000,1021,10062,104881,4,0,24.1046,20.7264,1,23.4188,19.5072,,0,24.1046,20.7264,1
3,2005,1021,10062,104881,4,0,24.2824,20.7264,1,24.1046,20.7264,,0,24.2824,20.7264,1
4,2010,1021,10062,104881,4,0,24.511,20.7264,2,24.2824,20.7264,,0,24.511,20.7264,2
1,1995,1021,10062,104884,4,0,19.812,21.6408,1,,,,0,19.812,21.6408,1
2,2000,1021,10062,104884,4,0,20.8534,22.86,1,19.812,21.6408,,0,20.8534,22.86,1
3,2005,1021,10062,104884,4,0,21.1582,22.86,2,20.8534,22.86,,0,21.1582,22.86,2
4,2010,1021,10062,104884,4,0,21.6662,23.1648,2,21.1582,22.86,,0,21.6662,23.1648,2
1,1995,1021,10062,104885,4,0,19.4818,21.336,1,,,,0,19.4818,21.336,1
2,2000,1021,10062,104885,4,0,20.2692,22.2504,1,19.4818,21.336,,0,20.2692,22.2504,1
3,2005,1021,10062,104885,4,0,20.6248,22.2504,2,20.2692,22.2504,,0,20.6248,22.2504,2
4,2010,1021,10062,104885,4,0,20.828,22.2504,2,20.6248,22.2504,,0,20.828,22.2504,2
1,1995,1021,10062,104886,4,0,8.4328,11.2776,4,,,,0,8.4328,11.2776,4
1,1995,1021,10062,104887,4,0,21.1582,21.0312,1,,,,0,21.1582,21.0312,1
2,2000,1021,10062,104887,4,0,21.971,21.9456,1,21.1582,21.0312,,0,21.971,21.9456,1
3,2005,1021,10062,104887,4,0,22.4028,22.2504,2,21.971,21.9456,,0,22.4028,22.2504,2
4,2010,1021,10062,104887,4,0,22.733,22.86,2,22.4028,22.2504,,0,22.733,22.86,2
1,1995,1021,10062,104888,4,0,8.8392,14.6304,4,,,,0,8.8392,14.6304,4
3,2005,1021,10062,104888,4,0,9.0424,14.3256,3,9.0424,0,,0,9.0424,14.3256,3
1,1995,1021,10062,104889,4,0,9.9568,14.6304,4,,,,0,9.9568,14.6304,4
3,2005,1021,10062,104889,4,0,10.0838,15.24,3,10.0838,0,,0,10.0838,15.24,3
1,1995,1021,10062,104890,4,0,15.0876,19.5072,2,,,,0,15.0876,19.5072,2
2,2000,1021,10062,104890,4,0,16.129,20.7264,1,15.0876,19.5072,,0,16.129,20.7264,1
3,2005,1021,10062,104890,4,0,16.8148,21.0312,2,16.129,20.7264,,0,16.8148,21.0312,2
4,2010,1021,10062,104890,4,0,17.4752,22.2504,2,16.8148,21.0312,,0,17.4752,22.2504,2
1,1995,1021,10062,104891,4,0,10.4394,16.4592,3,,,,0,10.4394,16.4592,3
3,2005,1021,10062,104891,4,0,10.6172,15.5448,3,10.6172,0,,0,10.6172,15.5448,3
1,1995,1021,10062,104892,4,0,12.954,21.336,3,,,,0,12.954,21.336,3
2,2000,1021,10062,104892,4,0,13.6144,21.6408,2,12.954,21.336,,0,13.6144,21.6408,2
3,2005,1021,10062,104892,4,0,14.0716,21.6408,2,13.6144,21.6408,,0,14.0716,21.6408,2
4,2010,1021,10062,104892,4,0,14.4018,21.6408,2,14.0716,21.6408,,0,14.4018,21.6408,2
1,1995,1021,10062,104893,4,0,10.7442,14.6304,3,,,,0,10.7442,14.6304,3
2,2000,1021,10062,104893,4,0,10.922,16.1544,3,10.7442,14.6304,,0,10.922,16.1544,3
4,2010,1021,10062,104893,4,0,11.1252,14.6304,3,11.049,0,,0,11.1252,14.6304,3
1,1995,1021,10062,104894,4,0,9.525,13.4112,4,,,,0,9.525,13.4112,4
2,2000,1021,10062,104894,4,0,9.7028,14.6304,4,9.525,13.4112,,0,9.7028,14.6304,4
3,2005,1021,10062,104894,4,0,9.8044,14.6304,3,9.7028,14.6304,,0,9.8044,14.6304,3
4,2010,1021,10062,104894,4,0,10.033,11.8872,3,9.8044,14.6304,,0,10.033,11.8872,3
1,1995,1021,10062,104895,4,0,15.4178,19.5072,2,,,,0,15.4178,19.5072,2
2,2000,1021,10062,104895,4,0,16.4592,20.4216,2,15.4178,19.5072,,0,16.4592,20.4216,2
3,2005,1021,10062,104895,4,0,17.0688,20.4216,2,16.4592,20.4216,,0,17.0688,20.4216,2
4,2010,1021,10062,104895,4,0,17.8054,20.4216,2,17.0688,20.4216,,0,17.8054,20.4216,2
1,1995,1021,10062,104896,4,0,11.3284,15.8496,3,,,,0,11.3284,15.8496,3
3,2005,1021,10062,104896,4,0,11.303,16.1544,3,11.303,0,,0,11.303,16.1544,3
1,1995,1021,10062,104897,4,0,11.2014,17.0688,3,,,,0,11.2014,17.0688,3
2,2000,1021,10062,104897,4,0,11.7094,18.288,2,11.2014,17.0688,,0,11.7094,18.288,2
3,2005,1021,10062,104897,4,0,11.938,18.288,3,11.7094,18.288,,0,11.938,18.288,3
4,2010,1021,10062,104897,4,0,12.0904,18.288,2,11.938,18.288,,0,12.0904,18.288,2
1,1995,1021,10062,104898,4,0,13.6652,20.1168,2,,,,0,13.6652,20.1168,2
2,2000,1021,10062,104898,4,0,14.5034,21.0312,2,13.6652,20.1168,,0,14.5034,21.0312,2
3,2005,1021,10062,104898,4,0,14.7828,21.0312,2,14.5034,21.0312,,0,14.7828,21.0312,2
4,2010,1021,10062,104898,4,0,15.0622,21.336,2,14.7828,21.0312,,0,15.0622,21.336,2
1,1995,1021,10062,104899,4,0,16.4846,20.1168,2,,,,0,16.4846,20.1168,2
2,2000,1021,10062,104899,4,0,17.0688,21.336,1,16.4846,20.1168,,0,17.0688,21.336,1
3,2005,1021,10062,104899,4,0,17.3736,21.336,2,17.0688,21.336,,0,17.3736,21.336,2
4,2010,1021,10062,104899,4,0,17.78,21.336,2,17.3736,21.336,,0,17.78,21.336,2
1,1995,1021,10062,104900,4,0,10.3886,14.6304,3,,,,0,10.3886,14.6304,3
2,2000,1021,10062,104900,4,0,10.5156,15.8496,3,10.3886,14.6304,,0,10.5156,15.8496,3
