site,psp,year,ndvi.max
1031,10092,2015,0.735376722
1031,10092,2016,0.768819564
1031,10092,2017,0.764481056
1031,10092,2018,0.751778331
1031,10093,1986,0.821983349
1031,10093,1987,0.82721081
1031,10093,1994,0.823997628
1031,10093,1995,0.854693479
1031,10093,1996,0.821022294
1031,10093,1997,0.758036672
1031,10093,1999,0.842365261
1031,10093,2000,0.832409327
1031,10093,2001,0.853953103
1031,10093,2002,0.850377698
1031,10093,2003,0.804879905
1031,10093,2004,0.803722233
1031,10093,2005,0.66029822
1031,10093,2006,0.715764369
1031,10093,2007,0.755054702
1031,10093,2008,0.740335011
1031,10093,2009,0.705903618
1031,10093,2010,0.728737047
1031,10093,2011,0.732917293
1031,10093,2012,0.752011648
1031,10093,2013,0.757876784
1031,10093,2014,0.769095196
1031,10093,2015,0.736420391
1031,10093,2016,0.764291609
1031,10093,2017,0.761129761
1031,10093,2018,0.743979668
1032,10094,1986,0.812697799
1032,10094,1987,0.804733376
1032,10094,1994,0.811354327
1032,10094,1995,0.786822313
1032,10094,1996,0.765543821
1032,10094,1997,0.780918258
1032,10094,1999,0.847215981
1032,10094,2000,0.851438363
1032,10094,2001,0.855568261
1032,10094,2002,0.885677554
1032,10094,2003,0.785658419
1032,10094,2004,0.782446097
1032,10094,2005,0.648889426
1032,10094,2006,0.745687531
1032,10094,2007,0.740920082
1032,10094,2008,0.770903113
1032,10094,2009,0.714366141
1032,10094,2010,0.752042903
1032,10094,2011,0.751810169
1032,10094,2012,0.763770423
1032,10094,2013,0.769185544
1032,10094,2014,0.772555705
1032,10094,2015,0.740459798
1032,10094,2016,0.769892166
1032,10094,2017,0.777672918
1032,10094,2018,0.765316695
1032,10095,1986,0.804919399
1032,10095,1987,0.806055125
1032,10095,1994,0.798676224
1032,10095,1995,0.815528287
1032,10095,1996,0.692950762
1032,10095,1997,0.781044695
1032,10095,1999,0.87401358
1032,10095,2000,0.8398154
1032,10095,2001,0.847852063
1032,10095,2002,0.847749135
1032,10095,2003,0.800473346
1032,10095,2004,0.800543267
1032,10095,2005,0.669714938
1032,10095,2006,0.730021083
1032,10095,2007,0.736151181
1032,10095,2008,0.741554495
1032,10095,2009,0.685400141
1032,10095,2010,0.754221025
1032,10095,2011,0.741028128
1032,10095,2012,0.733091059
1032,10095,2013,0.771382894
1032,10095,2014,0.749587518
1032,10095,2015,0.724395313
1032,10095,2016,0.776368601
1032,10095,2017,0.753506952
1032,10095,2018,0.755194638
1032,10096,1986,0.796037126
1032,10096,1987,0.808185418
1032,10096,1994,0.777796712
1032,10096,1995,0.800857345
1032,10096,1996,0.619212333
1032,10096,1997,0.72776423
1032,10096,1999,0.824427332
1032,10096,2000,0.803770359
1032,10096,2001,0.843822345
1032,10096,2002,0.836740664
1032,10096,2003,0.727875053
1032,10096,2004,0.770804557
1032,10096,2005,0.646322079
1032,10096,2006,0.74501992
1032,10096,2007,0.74822532
1032,10096,2008,0.773295535
1032,10096,2009,0.692770096
1032,10096,2010,0.746609997
1032,10096,2011,0.71620902
1032,10096,2012,0.741368491
1032,10096,2013,0.763988389
1032,10096,2014,0.763715946
1032,10096,2015,0.743232799
1032,10096,2016,0.759668672
