plot,site,aspen_biomass,birch_biomass,ws_biomass,bs_biomass,balsamp_biomass,total_biomass,allbutaspen_biomass,relative_aspen_biomass,relative_allbutaspen_biomass,aspen_stems/ha,birch_stems/ha,ws_stems/ha,bs_stems/ha,balsamp_stems/ha,total_stems/ha,allbutaspen_stems/ha,relative_aspen_density,relative_allbutaspen_density,IV_aspen,IV_others,time period,year
10233,1079,92.8198966,NA,13.46869766,NA,NA,106.2885943,13.46869766,87.32818159,12.67181841,938.9996195,NA,172.9736141,NA,NA,1111.973234,172.9736141,84.44444445,15.55555555,171.772626,28.22737397,T3,2012
10298,1101,117.9314543,NA,20.87633529,NA,4.141333817,142.9491234,25.01766911,82.49889995,17.50110005,593.0523912,NA,370.6577445,NA,74.1315489,1037.841685,444.7892934,57.14285714,42.85714286,139.6417571,60.35824291,T1,2000
10298,1101,95.18644449,NA,25.16323569,NA,4.362606989,124.7122872,29.52584268,76.32483266,23.67516734,469.4998097,NA,370.6577445,NA,74.1315489,914.2891031,444.7892934,51.35135135,48.64864865,127.676184,72.32381599,T2,2005
10298,1101,71.4696939,NA,29.29962776,NA,4.576760946,105.3460826,33.87638871,67.84276371,32.15723629,345.9472282,NA,420.0787771,NA,74.1315489,840.1575542,494.210326,41.17647059,58.82352941,109.0192343,90.9807657,T3,2010
10298,1101,53.80853548,NA,33.68485699,NA,5.021524148,92.51491662,38.70638114,58.16201046,41.83798954,271.8156793,NA,420.0787771,NA,74.1315489,766.0260053,494.210326,35.48387097,64.51612903,93.64588143,106.3541186,T4,2015
10299,1101,88.44475078,NA,12.69062415,NA,1.14451003,102.279885,13.83513418,86.47325993,13.52674007,494.210326,NA,172.9736141,NA,24.7105163,691.8944564,197.6841304,71.42857143,28.57142857,157.9018314,42.09816864,T1,2000
10299,1101,45.47215779,NA,13.86389561,NA,1.196968541,60.53302194,15.06086415,75.11958982,24.88041018,247.105163,NA,172.9736141,NA,24.7105163,444.7892934,197.6841304,55.55555556,44.44444444,130.6751454,69.32485462,T2,2005
10299,1101,25.21856546,NA,15.60151895,NA,1.300304544,42.12038895,16.90182349,59.87258448,40.12741552,98.84206521,NA,197.6841304,NA,24.7105163,321.2367119,222.3946467,30.76923077,69.23076923,90.64181525,109.3581847,T3,2010
10299,1101,19.54785342,NA,17.20079884,NA,1.373796477,38.12244874,18.57459532,51.27648949,48.72351051,74.1315489,NA,222.3946467,NA,24.7105163,321.2367119,247.105163,23.07692308,76.92307692,74.35341257,125.6465874,T4,2015
10300,1101,59.25825289,NA,3.966894739,NA,1.294745464,64.51989309,5.261640203,91.84493348,8.155066524,469.4998097,NA,172.9736141,NA,24.7105163,667.1839401,197.6841304,70.37037037,29.62962963,162.2153038,37.78469615,T1,2000
10300,1101,9.117809652,NA,4.758795086,NA,1.391079917,15.26768466,6.149875003,59.71966187,40.28033813,123.5525815,NA,197.6841304,NA,24.7105163,345.9472282,222.3946467,35.71428571,64.28571429,95.43394759,104.5660524,T2,2005
10300,1101,0,NA,5.44806108,NA,1.485320326,6.933381406,6.933381406,0,100,0,NA,197.6841304,NA,24.7105163,222.3946467,222.3946467,0,100,0,200,T3,2010
