year,TM8.61,TM11.61,TM12.61,TM10.61,TM9.61,TM3.61,TM1.61,TM2.61,TM5.61,TM6.61,TM7.61,TM12.91,TM1.91,TM6.91,TM3.91,TM4.91,TM7.91,TM8.91,TM9.91,TM10.91,TM2.91,TM4.94,TM5.94,TM11.94,TM9.94,TM6.94,TM10.94,TM1.94,TM7.94,TM8.94,TM2.94,TM5.97,TM2.97,TM1.97,TM7.97,TM11.97,TM10.97,TM9.97,TM6.97,TM8.97,TM4.97,TM12.97,TM10.19,TM1.19,TM4.19,TM5.19,TM3.19,TM7.19,TM6.19,TM8.19,TM12.19,TM9.19,TM11.19,TM7.23,TM5.23,TM6.23,TM2.23,TM3.23,TM1.23,TM10.23,TM8.23,TM4.23,TM12.23,TM11.23,TM9.23,TM7.29,TM6.29,TM5.29,TM4.29,TM3.29,TM2.29,TM1.29,TM12.29,TM11.29,TM10.29,TM8.29,TM8.30,TM3.30,TM2.30,TM1.30,TM5.30,TM4.30,TM6.30,TM7.30,TM9.30,TM10.30,TM11.30,TM12.30,TM9.29
1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0345,1.123,NA,0.451,NA,NA,NA,NA,0.9655,NA,0.5555,NA,NA,1.538,NA,NA,NA,NA,1.3515,1.215,NA,0.898,1.4805,0.422,0.3585,0.754,0.0635,1.292,1.0905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.788,2.077,1.369,1.704,2.8165,2.574,1.315,2.039,1.337,2.134,2.336,0.2035,0.466,0.991,0.566,NA,0.6025,0.521,NA,0.3925,0.963,0.5655,0.592,2.403
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.774,1.462,NA,1.075,NA,NA,NA,NA,1.219,NA,1.198,NA,NA,2.688,NA,NA,NA,NA,1.006,0.86,NA,0.6895,0.9875,0.803,0.7715,0.674,0.333,1.4135,1.1155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.281,1.622,1.138,1.5305,2.065,1.945,0.782,1.3595,0.6755,1.763,2.0895,0.2005,0.3895,0.834,0.9515,NA,0.7035,0.441,NA,0.272,0.6565,0.803,0.3505,1.5425
1923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,1.021,NA,0.751,NA,NA,NA,NA,1.385,NA,0.845,1.741,NA,1.957,NA,NA,NA,NA,1.196,0.774,NA,0.5545,1.018,0.358,0.3075,0.542,0.2905,1.452,1.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.513,0.495,1.001,1.1365,1.256,1.241,1.046,0.6395,0.6085,0.578,0.79,0.052,0.2735,0.6865,0.582,NA,0.4875,0.524,NA,0.315,0.5325,0.985,0.38,0.999
1924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3935,0.4835,NA,0.415,NA,NA,NA,NA,0.1535,NA,0.22,0.6825,NA,1.137,NA,NA,NA,NA,0.6065,0.4575,NA,0.3745,0.4675,0.382,0.4005,0.397,0.345,0.678,0.436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157,0.774,1.3515,1.923,2.593,1.704,1.632,1.1895,0.95,1.01,1.2945,0.363,0.231,0.8575,0.449,NA,0.34,0.3075,NA,0.179,0.688,0.627,0.336,1.5135
1925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.516,0.43,NA,0.534,NA,NA,NA,NA,0.0315,NA,0.305,0.268,NA,1.207,NA,NA,NA,NA,0.4555,0.618,NA,0.303,0.553,0.593,0.3365,0.368,0.252,0.4045,0.5095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4975,1.769,2.0235,3.502,3.485,2.382,2.112,2.2575,2.2055,2.635,2.3525,0.561,0.209,0.314,0.131,NA,0.115,0.2985,NA,0.095,0.4735,0.55,0.2985,3.3455
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5635,1.2465,NA,1.0865,NA,NA,NA,NA,0.8015,NA,0.714,1.051,NA,2.257,NA,NA,NA,NA,1.0015,0.6105,NA,0.3635,0.789,0.904,0.5375,0.494,0.262,0.779,0.9215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.707,1.146,1.5095,1.986,2.023,1.641,0.771,1.4485,1.3195,2.162,1.864,0.285,0.2945,0.267,0.3295,NA,0.359,0.2565,NA,0.3415,0.3985,1.103,0.342,1.936
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6255,1.1425,NA,0.9415,NA,NA,NA,NA,0.6655,NA,0.575,0.784,NA,1.327,NA,NA,NA,NA,0.8685,0.7275,NA,0.5055,0.8285,0.7625,0.488,0.475,0.263,0.887,0.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5045,0.973,1.3825,1.144,1.3525,0.96,0.375,1.0915,0.836,1.076,1.4605,0.464,0.2735,0.486,0.477,NA,0.365,0.359,NA,0.298,0.234,1.1285,0.3365,0.751
1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.2735,NA,0.2385,NA,NA,NA,NA,0.0165,NA,0.308,0.1715,3.2325,1.279,NA,0.794,NA,NA,0.338,0.4375,NA,0.429,0.3285,0.5275,0.3995,0.393,0.13,0.7985,0.4305,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7585,1.418,1.3005,1.865,2.3315,1.599,1.005,0.939,1.2025,1.367,1.79,0.609,0.17,0.548,0.2855,NA,0.162,0.119,NA,0.352,0.6355,0.379,0.3645,1.43
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0905,1.2515,NA,0.7115,NA,NA,NA,NA,0.3165,NA,0.7335,0.7245,2.5745,1.441,0.737,0.496,NA,NA,0.46,0.572,NA,0.657,0.6165,0.4775,0.6625,0.707,0.204,0.7035,0.706,1.147,NA,0.638,NA,NA,NA,NA,NA,NA,NA,1.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.789,2.679,2.274,2.5345,2.5715,1.777,1.192,1.451,1.321,1.779,2.754,0.3995,0.2425,0.6685,0.2585,NA,0.341,0.219,NA,0.276,0.7705,0.2625,0.3565,2.098
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9605,NA,1.1725,1.9435,1.9185,0.9015,1.0785,1.9835,NA,NA,0.7825,0.9945,1.552,1.0895,2.123,2.047,1.512,2.381,NA,NA,0.867,0.7645,0.409,0.607,0.805,0.7705,0.826,0.825,0.2335,0.611,0.9465,2.05,NA,0.843,NA,0.5905,NA,NA,NA,NA,NA,1.869,NA,NA,1.9525,NA,NA,NA,NA,NA,NA,NA,NA,0.6505,1.273,1.663,1.613,1.5505,2.4915,1.196,0.844,1.0815,1.177,1.724,1.8765,0.4605,0.3465,0.906,0.3225,NA,0.256,0.337,NA,0.455,0.7325,0.695,0.4055,1.6315
